epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3995.45,1.47683,1.48074,1.78894,0.73867,0.52987,0.61318,0.35317,0.846,0.78947,1.02366,0.0023027,0.0023027,0.0023027
56,4067.45,1.45871,1.46454,1.78309,0.73977,0.52378,0.60767,0.34508,0.85498,0.77362,1.03972,0.00225275,0.00225275,0.00225275
57,4138.56,1.45429,1.46023,1.77702,0.71497,0.53782,0.60832,0.34557,0.85516,0.76436,1.03227,0.0022028,0.0022028,0.0022028
58,4209.87,1.44241,1.43386,1.76902,0.72697,0.54561,0.61097,0.34888,0.85529,0.81102,1.03057,0.00215285,0.00215285,0.00215285
59,4281.28,1.4457,1.44145,1.76925,0.72177,0.53769,0.61065,0.34962,0.8553,0.79445,1.03214,0.0021029,0.0021029,0.0021029
60,4352.51,1.44673,1.44162,1.76726,0.73025,0.5416,0.61744,0.35162,0.85998,0.77647,1.03486,0.00205295,0.00205295,0.00205295
61,4423.75,1.42419,1.41589,1.75746,0.73113,0.54216,0.61399,0.35409,0.85074,0.73785,1.0305,0.002003,0.002003,0.002003
62,4497.88,1.4272,1.41939,1.75145,0.7297,0.5321,0.61557,0.35707,0.84319,0.74366,1.02453,0.00195305,0.00195305,0.00195305
63,4569.82,1.41904,1.4025,1.75325,0.74573,0.53266,0.61572,0.35838,0.85393,0.71488,1.03498,0.0019031,0.0019031,0.0019031
64,4642.01,1.42435,1.42068,1.74788,0.74275,0.53039,0.61917,0.35892,0.84876,0.73571,1.02411,0.00185315,0.00185315,0.00185315
65,4713.92,1.41616,1.39908,1.74009,0.74597,0.53881,0.62332,0.36527,0.84919,0.71365,1.02241,0.0018032,0.0018032,0.0018032
66,4785.88,1.41745,1.39984,1.74154,0.75401,0.54081,0.62945,0.36733,0.83747,0.70694,1.01444,0.00175325,0.00175325,0.00175325
67,4857.99,1.4072,1.37927,1.73267,0.76662,0.53372,0.62521,0.36413,0.83932,0.72506,1.01619,0.0017033,0.0017033,0.0017033
68,4929.21,1.41317,1.37267,1.73408,0.73523,0.55351,0.62901,0.36774,0.84183,0.71764,1.0133,0.00165335,0.00165335,0.00165335
69,5001.35,1.41279,1.37829,1.7375,0.76075,0.53441,0.63027,0.36763,0.83042,0.70713,1.00584,0.0016034,0.0016034,0.0016034
70,5072.73,1.39836,1.36247,1.72075,0.76431,0.5282,0.62669,0.37031,0.83047,0.72005,1.00636,0.00155345,0.00155345,0.00155345
71,5144.92,1.39467,1.34425,1.72564,0.75032,0.53825,0.62826,0.3682,0.84016,0.74219,1.0144,0.0015035,0.0015035,0.0015035
72,5217.67,1.38117,1.35277,1.71341,0.73749,0.54439,0.62734,0.37026,0.83587,0.74755,1.01107,0.00145355,0.00145355,0.00145355
73,5288.72,1.37983,1.32812,1.70882,0.73187,0.55388,0.6268,0.37032,0.83886,0.71207,1.01179,0.0014036,0.0014036,0.0014036
74,5360.77,1.36336,1.32492,1.70802,0.75871,0.5302,0.6218,0.36625,0.84265,0.71055,1.01804,0.00135365,0.00135365,0.00135365
75,5431.99,1.38592,1.34595,1.71481,0.77442,0.53266,0.62573,0.36762,0.84127,0.70112,1.01318,0.0013037,0.0013037,0.0013037
76,5503.09,1.36232,1.3266,1.69913,0.76766,0.53881,0.63224,0.37044,0.83714,0.71213,1.00833,0.00125375,0.00125375,0.00125375
77,5574.88,1.36341,1.30992,1.69647,0.7578,0.54216,0.63133,0.36986,0.83839,0.71697,1.01065,0.0012038,0.0012038,0.0012038
78,5646.13,1.35856,1.30737,1.69904,0.75442,0.55109,0.63314,0.37013,0.84018,0.71507,1.01135,0.00115385,0.00115385,0.00115385
79,5717.47,1.34728,1.29012,1.68908,0.73876,0.55835,0.63576,0.37487,0.83784,0.69941,1.00859,0.0011039,0.0011039,0.0011039
80,5789.81,1.34815,1.29829,1.68522,0.76014,0.54321,0.6336,0.37579,0.83597,0.70485,1.0064,0.00105395,0.00105395,0.00105395
81,5862.5,1.19522,1.0189,1.62606,0.74162,0.5529,0.63652,0.37587,0.83304,0.71344,1.00498,0.001004,0.001004,0.001004
82,5936.63,1.16161,0.97785,1.60111,0.73213,0.557,0.63383,0.37653,0.83225,0.70318,1.00927,0.00095405,0.00095405,0.00095405
83,6008.23,1.15164,0.94833,1.59081,0.73121,0.5684,0.63677,0.3786,0.82646,0.69587,1.00491,0.0009041,0.0009041,0.0009041
84,6081.07,1.13738,0.93613,1.57935,0.74375,0.55424,0.63408,0.37798,0.82629,0.69723,1.00302,0.00085415,0.00085415,0.00085415
85,6152.17,1.14137,0.9179,1.58067,0.75282,0.54941,0.63461,0.37832,0.82449,0.70601,1.00348,0.0008042,0.0008042,0.0008042
86,6223.1,1.13624,0.92135,1.5664,0.72877,0.56859,0.63745,0.37992,0.82461,0.69507,1.00397,0.00075425,0.00075425,0.00075425
87,6295.02,1.10262,0.88728,1.54264,0.74347,0.56449,0.63886,0.3818,0.81895,0.69279,0.9996,0.0007043,0.0007043,0.0007043
88,6366.89,1.0931,0.8655,1.53757,0.74915,0.55526,0.63814,0.38151,0.82204,0.68471,1.00382,0.00065435,0.00065435,0.00065435
89,6438.28,1.07691,0.86572,1.53084,0.74096,0.56393,0.63926,0.38075,0.82363,0.68383,1.00524,0.0006044,0.0006044,0.0006044
90,6509.45,1.08575,0.85644,1.52908,0.74231,0.56951,0.64035,0.38099,0.82157,0.68744,1.00431,0.00055445,0.00055445,0.00055445
91,6580.55,1.07257,0.84467,1.52204,0.72862,0.57175,0.63718,0.38106,0.82074,0.68423,1.002,0.0005045,0.0005045,0.0005045
92,6653.28,1.07902,0.83092,1.52602,0.72559,0.5751,0.63836,0.38059,0.81916,0.68521,1.00109,0.00045455,0.00045455,0.00045455
93,6724.58,1.06041,0.8283,1.51801,0.73543,0.56961,0.64049,0.38146,0.82013,0.68269,1.00263,0.0004046,0.0004046,0.0004046
94,6796.3,1.04878,0.80921,1.50214,0.73245,0.57626,0.641,0.38152,0.82213,0.68324,1.00551,0.00035465,0.00035465,0.00035465
95,6867.42,1.06162,0.8266,1.51399,0.74707,0.57226,0.64267,0.38135,0.82232,0.68359,1.00576,0.0003047,0.0003047,0.0003047
96,6938.41,1.04892,0.81571,1.50131,0.75282,0.56627,0.64004,0.38111,0.82319,0.68039,1.00824,0.00025475,0.00025475,0.00025475
97,7009.18,1.0384,0.79798,1.49348,0.75437,0.56226,0.63991,0.38075,0.8257,0.68024,1.01162,0.0002048,0.0002048,0.0002048
98,7080.64,1.02675,0.79747,1.47949,0.75545,0.55538,0.63994,0.38124,0.82472,0.67819,1.01123,0.00015485,0.00015485,0.00015485
99,7151.88,1.02721,0.78445,1.47736,0.75886,0.55611,0.63979,0.38099,0.82528,0.67764,1.0125,0.0001049,0.0001049,0.0001049
100,7222.84,1.01541,0.78101,1.46474,0.75372,0.56226,0.6405,0.38087,0.82513,0.67727,1.01284,5.495e-05,5.495e-05,5.495e-05
