epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,2203.44,1.34298,1.40761,1.67049,0.69341,0.55611,0.62214,0.34772,0.83355,0.7439,1.04301,0.0024026,0.0024026,0.0024026
54,2244.28,1.33813,1.40221,1.66183,0.72942,0.55891,0.6296,0.35675,0.83492,0.75635,1.03707,0.00235265,0.00235265,0.00235265
55,2285.45,1.32241,1.39586,1.65513,0.70892,0.5617,0.62956,0.35779,0.82528,0.73722,1.02904,0.0023027,0.0023027,0.0023027
56,2326.54,1.33284,1.39289,1.66101,0.72417,0.5629,0.63382,0.34976,0.8354,0.75351,1.04808,0.00225275,0.00225275,0.00225275
57,2367.34,1.31857,1.38254,1.65477,0.70951,0.55891,0.62768,0.35583,0.82505,0.7729,1.03072,0.0022028,0.0022028,0.0022028
58,2408.08,1.3236,1.39315,1.65646,0.72374,0.54718,0.62543,0.35359,0.81994,0.73142,1.03901,0.00215285,0.00215285,0.00215285
59,2449.13,1.30745,1.3787,1.64644,0.72398,0.56114,0.63745,0.35848,0.82844,0.74596,1.0374,0.0021029,0.0021029,0.0021029
60,2490.11,1.31599,1.37038,1.63928,0.75127,0.53155,0.63267,0.36093,0.8225,0.73057,1.03014,0.00205295,0.00205295,0.00205295
61,2531.08,1.30713,1.36057,1.64599,0.73547,0.56195,0.63456,0.3596,0.82919,0.71872,1.02955,0.002003,0.002003,0.002003
62,2572.49,1.30352,1.3448,1.63129,0.74356,0.5472,0.63612,0.3569,0.83571,0.94669,1.03665,0.00195305,0.00195305,0.00195305
63,2613.3,1.31614,1.35332,1.63824,0.73239,0.55779,0.63453,0.36384,0.80983,0.72507,1.01662,0.0019031,0.0019031,0.0019031
64,2654.55,1.29519,1.34615,1.63129,0.7336,0.55611,0.63062,0.36035,0.81785,0.74085,1.02899,0.00185315,0.00185315,0.00185315
65,2695.44,1.29392,1.33943,1.62213,0.7226,0.56577,0.64301,0.36623,0.81796,0.70092,1.02454,0.0018032,0.0018032,0.0018032
66,2736.66,1.27961,1.31818,1.61373,0.74611,0.54475,0.63849,0.36406,0.82119,0.72427,1.02516,0.00175325,0.00175325,0.00175325
67,2777.39,1.28773,1.30539,1.61971,0.75549,0.54774,0.64249,0.36902,0.82404,0.69696,1.02131,0.0017033,0.0017033,0.0017033
68,2818.34,1.27643,1.31706,1.61239,0.75731,0.54941,0.64028,0.37199,0.81504,0.73665,1.01363,0.00165335,0.00165335,0.00165335
69,2859.2,1.26868,1.28826,1.6046,0.74185,0.5483,0.6399,0.36977,0.81685,0.71264,1.01354,0.0016034,0.0016034,0.0016034
70,2899.95,1.26503,1.29103,1.6027,0.76062,0.54383,0.64441,0.37395,0.79871,0.70704,0.99672,0.00155345,0.00155345,0.00155345
71,2940.89,1.27132,1.28256,1.60563,0.79038,0.52931,0.64654,0.38221,0.79292,0.70138,0.99481,0.0015035,0.0015035,0.0015035
72,2982.66,1.26296,1.27601,1.59724,0.77921,0.54383,0.64666,0.38021,0.80122,0.69777,1.00433,0.00145355,0.00145355,0.00145355
73,3023.5,1.26492,1.28943,1.60419,0.75708,0.56449,0.6532,0.38251,0.79916,0.69214,0.99911,0.0014036,0.0014036,0.0014036
74,3064.37,1.26593,1.28297,1.59567,0.74245,0.56951,0.65058,0.38106,0.79494,0.67428,0.99519,0.00135365,0.00135365,0.00135365
75,3105.08,1.25212,1.25896,1.5926,0.75769,0.56395,0.65197,0.38385,0.78606,0.67172,0.98085,0.0013037,0.0013037,0.0013037
76,3145.95,1.23985,1.24253,1.58361,0.73821,0.56784,0.64752,0.38256,0.79065,0.69561,0.98992,0.00125375,0.00125375,0.00125375
77,3186.81,1.24287,1.23343,1.57828,0.74664,0.56337,0.64823,0.37981,0.79226,0.68916,0.99082,0.0012038,0.0012038,0.0012038
78,3227.47,1.23591,1.23894,1.57567,0.72606,0.56505,0.64497,0.37677,0.80645,0.69541,1.00015,0.00115385,0.00115385,0.00115385
