epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,5197.8,1.34759,1.4611,1.70109,0.7045,0.54178,0.61538,0.347,0.8522,0.7992,1.0671,0.0023027,0.0023027,0.0023027
56,5291.29,1.35471,1.46444,1.70461,0.73346,0.52854,0.61862,0.35302,0.82259,0.76059,1.03472,0.00225275,0.00225275,0.00225275
57,5385.24,1.34689,1.44546,1.7001,0.73864,0.52545,0.62077,0.35582,0.82084,0.74495,1.0318,0.0022028,0.0022028,0.0022028
58,5479.25,1.34598,1.45538,1.69515,0.75129,0.52764,0.61748,0.35112,0.82967,0.73285,1.04713,0.00215285,0.00215285,0.00215285
59,5573.03,1.32558,1.43873,1.68408,0.70769,0.55165,0.61916,0.35473,0.81206,0.73147,1.01964,0.0021029,0.0021029,0.0021029
60,5666.66,1.34449,1.44354,1.68496,0.73456,0.53769,0.62208,0.35611,0.82816,0.75285,1.0433,0.00205295,0.00205295,0.00205295
61,5760.64,1.32293,1.41116,1.67893,0.68434,0.56046,0.62047,0.35701,0.8263,0.74434,1.03953,0.002003,0.002003,0.002003
62,5855.59,1.31535,1.39791,1.66884,0.72733,0.5451,0.62467,0.35982,0.82327,0.72928,1.03784,0.00195305,0.00195305,0.00195305
63,5949.16,1.33368,1.40383,1.67377,0.72828,0.5416,0.62702,0.36794,0.80669,0.71438,1.0162,0.0019031,0.0019031,0.0019031
64,6043.04,1.31882,1.40232,1.67378,0.71209,0.56343,0.6357,0.36754,0.82451,0.72337,1.03888,0.00185315,0.00185315,0.00185315
65,6136.59,1.30437,1.39682,1.65622,0.71975,0.56068,0.63524,0.371,0.80754,0.72999,1.01947,0.0018032,0.0018032,0.0018032
66,6230.36,1.2976,1.3752,1.64907,0.75039,0.54439,0.63643,0.37271,0.80127,0.70867,1.01225,0.00175325,0.00175325,0.00175325
67,6324.24,1.30325,1.36489,1.65798,0.75139,0.53881,0.63543,0.37307,0.79955,0.7118,1.01353,0.0017033,0.0017033,0.0017033
68,6418.08,1.29421,1.36698,1.64868,0.72675,0.55689,0.63992,0.37839,0.79557,0.6904,1.00828,0.00165335,0.00165335,0.00165335
69,6511.94,1.28213,1.3496,1.64377,0.73675,0.55388,0.64297,0.37697,0.79668,0.70937,1.0184,0.0016034,0.0016034,0.0016034
70,6605.36,1.2815,1.34571,1.64455,0.74394,0.54941,0.64222,0.38039,0.79443,0.69264,1.01759,0.00155345,0.00155345,0.00155345
71,6699.55,1.28152,1.34062,1.63766,0.75372,0.55444,0.64125,0.38217,0.7937,0.70886,1.01131,0.0015035,0.0015035,0.0015035
72,6794.69,1.28097,1.32694,1.63636,0.72768,0.55946,0.6382,0.38124,0.78648,0.70864,1.00532,0.00145355,0.00145355,0.00145355
73,6888.34,1.27826,1.3385,1.64105,0.76148,0.54774,0.64794,0.38539,0.78946,0.68906,1.00414,0.0014036,0.0014036,0.0014036
74,6982.33,1.27707,1.3343,1.63237,0.75361,0.55501,0.6455,0.38495,0.78278,0.68646,0.99909,0.00135365,0.00135365,0.00135365
75,7076.02,1.26392,1.30511,1.62553,0.75919,0.54744,0.64497,0.38599,0.78983,0.68521,1.00659,0.0013037,0.0013037,0.0013037
76,7169.92,1.25317,1.29284,1.61634,0.74815,0.54735,0.64606,0.38715,0.79094,0.67505,1.00966,0.00125375,0.00125375,0.00125375
77,7263.92,1.25193,1.29074,1.6147,0.72201,0.57137,0.64618,0.38675,0.79293,0.68135,1.00985,0.0012038,0.0012038,0.0012038
78,7357.41,1.24837,1.2871,1.61079,0.7416,0.55388,0.64313,0.38391,0.79851,0.68137,1.01281,0.00115385,0.00115385,0.00115385
79,7450.96,1.25417,1.29372,1.61279,0.71911,0.57179,0.64302,0.38638,0.78564,0.68927,0.99979,0.0011039,0.0011039,0.0011039
80,7544.64,1.23954,1.28221,1.60172,0.69106,0.58451,0.64455,0.38658,0.78849,0.68666,1.00252,0.00105395,0.00105395,0.00105395
81,7640.67,1.12003,1.05151,1.58962,0.72325,0.56784,0.6438,0.38758,0.7823,0.69638,0.99843,0.001004,0.001004,0.001004
82,7735.17,1.1244,1.01226,1.58213,0.73249,0.5684,0.64655,0.39184,0.77144,0.68951,0.99142,0.00095405,0.00095405,0.00095405
83,7828.88,1.08466,0.98263,1.55607,0.72636,0.57901,0.65193,0.39382,0.77288,0.67503,0.99303,0.0009041,0.0009041,0.0009041
84,7922.26,1.08985,0.97245,1.55786,0.73913,0.57621,0.65317,0.39261,0.78257,0.67225,1.00626,0.00085415,0.00085415,0.00085415
85,8015.26,1.05846,0.94776,1.54097,0.72468,0.58403,0.65128,0.39235,0.77894,0.68006,1.00555,0.0008042,0.0008042,0.0008042
